,titulo,artista,letras
0,Notificação Preferida,Zé Neto e Cristiano," Já doeu. Mas hoje não dói mais. Tanto fiz. Que agora tanto faz. O nosso amor calejou. Apanhou, apanhou que cansou. Na minha cama cê fez tanta falta. Que o meu coração te expulsou. Não tem mais eu e você. Tá facin de entender. Você me deu aula de como aprender te esquecer. Foi, mas não é mais a minha notificação preferida. Já foi, mas não é mais a número um da minha vida. Sinto em te dizer. Mas eu já superei você. O nosso amor calejou. Apanhou, apanhou que cansou. Na minha cama cê fez tanta falta. Que o meu coração te expulsou. Não tem mais eu e você. Tá facin de entender. Você me deu aula de como aprender te esquecer. Foi, mas não é mais a minha notificação preferida. Já foi, mas não é mais a número um da minha vida. Sinto em te dizer. Mas eu já superei você. Foi, mas não é mais a minha notificação preferida. Já foi, mas não é mais a número um da minha vida. Sinto em te dizer. Mas eu já superei você. Já doeu. Mas hoje não dói mais.  "
1,Ciumeira,Marília Mendonça," No começo, eu entendia. Mas era só cama, não tinha amor. Lembro quando você dizia. Vou desligar porque ela chegou. E a gente foi se envolvendo, perdendo o medo. Não tinha lugar e nem hora pra dar um beijo. Coração não tá mais aceitando. Só metade do seu Te amo. É uma ciumeira atrás da outra. Ter que dividir seu corpo e a sua boca. Tá bom que eu aceitei por um instante. A verdade é que amante não quer ser amante. É uma ciumeira atrás da outra. Ter que dividir seu corpo e a sua boca. Tá bom que eu aceitei por um instante. A verdade é que amante não quer ser amante. É uma ciumeira atrás da outra. E a gente foi se envolvendo, perdendo o medo. Não tinha lugar e nem hora pra dar um beijo. Coração não tá mais aceitando. Só metade do seu Te amo. É uma ciumeira atrás da outra. Ter que dividir seu corpo e a sua boca. Tá bom que eu aceitei por um instante. A verdade é que amante não quer ser amante. É uma ciumeira atrás da outra. Ter que dividir seu corpo e a sua boca. Tá bom que eu aceitei por um instante. A verdade é que amante não quer ser amante. É uma ciumeira atrás da outra. Ter que dividir seu corpo e a sua boca. Tá bom que eu aceitei por um instante. A verdade é que amante não quer ser amante. É uma ciumeira atrás da outra.  "
2,"Quem Pegou, Pegou",Henrique e Juliano," Hoje é a sexta mais estranha da minha vida. Já passou das 8 e eu nem toquei em bebida. Eu mudei de celular pro passado não me achar. Da balada, tirei meu nome da lista. Eu achei sem procurar, viciei só de provar. No coração, pendurei uma plaquinha que dizia. Quem pegou, pegou, pegou, não pega mais. Quem beijou, beijou, beijou, não beija mais. Tem um amor de balada virando amor da minha vida. Quem diria. Quem pegou, pegou, pegou, não pega mais. Quem beijou, beijou, beijou, não beija mais. Tem um amor de balada virando amor da minha vida. Quem diria. Que eu beijaria a mesma boca todo dia. Eu mudei de celular pro passado não me achar. Da balada, tirei meu nome da lista. Eu achei sem procurar, viciei só de provar. No coração, pendurei uma plaquinha que dizia. Quem pegou, pegou, pegou, não pega mais. Quem beijou, beijou, beijou, não beija mais. Tem um amor de balada virando amor da minha vida. Quem diria. Quem pegou, pegou, pegou, não pega mais. Quem beijou, beijou, beijou, não beija mais. Tem um amor de balada virando amor da minha vida. Quem diria. Que eu beijaria a mesma boca todo dia. Tem um amor de balada virando amor da minha vida. Quem diria. Que eu beijaria a mesma boca todo dia.  "
3,Largado Às Traças,Zé Neto e Cristiano," Meu orgulho caiu quando subiu o álcool. Aí deu ruim pra mim. E, pra piorar, tá tocando um modão. De arrastar o chifre no asfalto. Tô tentando te esquecer. Mas meu coração não entende. De novo, eu fechando esse bar. Afogando a saudade num querosene. Vou beijando esse copo, abraçando as garrafas. Solidão é companheira nesse risca faca. Enquanto cê não volta, eu tô largado às traças. Maldito sentimento que nunca se acaba. Vou beijando esse copo, abraçando as garrafas. Solidão é companheira nesse risca faca. Enquanto cê não volta, eu tô largado às traças. Maldito sentimento que nunca se acaba. Ô ô ô, ô ô ô. A falta de você, bebida não ameniza. Ô ô ô, ô ô ô. Tô tentando apagar fogo com gasolina. Meu orgulho caiu quando subiu o álcool. Aí deu ruim pra mim. E, pra piorar, tá tocando um modão. De arrastar o chifre no asfalto. Tô tentando te esquecer. Mas meu coração não percebe. De novo, eu fechando esse bar. Afogando a saudade num querosene. Vou beijando esse copo, abraçando as garrafas. Solidão é companheira nesse risca faca. Enquanto cê não volta, eu tô largado às traças. Maldito sentimento que nunca se acaba. Vou beijando esse copo, abraçando as garrafas. Solidão é companheira nesse risca faca. Enquanto cê não volta, eu tô largado às traças. Maldito sentimento que nunca se acaba. Ô ô ô, ô ô ô. A falta de você, bebida não ameniza. Ô ô ô, ô ô ô. Tô tentando apagar fogo com gasolina. Ô ô ô, ô ô ô. A falta de você, bebida não ameniza. Ô ô ô, ô ô ô. Tô tentando apagar fogo com gasolina.  "
4,Bem Pior Que Eu,Marília Mendonça," Mente e vai dar uma volta e vem me ver. Entre uma briga e outra de vocês. Eu nem conheço ela, mas me sinto culpada. Primeiro que eu nem devia tá aqui. Segundo, cê não tinha que ligar pra mim. Mas você ligou e eu atendi. Eu penso Não, mas falo Sim. Bem pior que eu, você. Que não deixa ela, e nem deixa de viver. Bem pior que eu, você. Desconta sua raiva em duas horas de prazer. Bem pior que eu, você. Que não deixa ela, e nem deixa de viver. Bem pior que eu, você. Desconta sua raiva em duas horas de prazer. Eu venho porque eu não tenho nada a perder. Já você. Primeiro que eu nem devia tá aqui. Segundo, cê não tinha que ligar pra mim. Mas você ligou e eu atendi. Eu penso Não, mas falo Sim. Bem pior que eu, você. Que não deixa ela, e nem deixa de viver. Bem pior que eu, você. Desconta sua raiva em duas horas de prazer. Bem pior que eu, você. Que não deixa ela, e nem deixa de viver. Bem pior que eu, você. Desconta sua raiva em duas horas de prazer. Eu venho porque eu não tenho nada a perder. Já você. Eu venho porque eu não tenho nada a perder. Já você.  "
5,Ao Vivo e a Cores (part. Anitta),Matheus e Kauan," Por que você não sai daí e vem aqui. Pode invadir, pode chegar, pode ficar. No meu quarto, no meu abraço, apertado. Duvido que cê vai querer ir embora, não apavora. Depois do amor a gente vai fazendo hora. E eu não aguento mais, eu não aguento mais. A tela fria desse celular, só ver sua foto não vai me esquentar. Amar você de longe é tão ruim. Te quero ao vivo e a cores aqui, aqui. Por que você não sai daí e vem aqui. Pode invadir, pode chegar, pode ficar. No meu quarto, no meu abraço, apertado. Duvido que cê vai querer ir embora, não apavora. Depois do amor a gente vai fazendo hora. E eu não aguento mais, eu não aguento mais. A tela fria desse celular, só ver sua foto não vai me esquentar. Amar você de longe é tão ruim. Te quero ao vivo e a cores aqui, aqui. Aqui. Iêêê, uôôô. Então sai daí, sai daí, vem aqui, vem invadir, invadir o meu quarto. Meu abraço apertado, vem, vem, duvido que cê vai querer sair. Por que você não sai daí, sai daí, sai daí, vem aqui, vem invadir, invadir o meu quarto. Meu abraço, meu abraço apertado. Eu não aguento mais. Olhar pra tela fria desse celular, só ver sua foto não vai me esquentar. Amar você de longe é tão ruim. Te quero ao vivo e a cores aqui, aqui. Aqui. Iêêê, uôôô.  "
6,Não Fala Não Pra Mim (part. Jerry Smith),Humberto e Ronaldo," Lá vai minha saudade beber uns Danone. Pra ver se a vontade de te ver . Some de uma vez da minha cabeça. Eu já to vendo a surra de enxaqueca. Lá vai meu orgulho, perdendo a vergonha. A comanda enchendo, os dedos tremendo. Com vontade de ligar. Já to com medo de me rejeitar. Não fala não pra mim, bebê. Senão eu morro de beber. Nessa fossa que eu tô, não dá. E é só você pra me salvar. Não fala não pra mim, bebê. Senão eu morro de beber. Fala que ainda sou o seu amor. Ô, Jerry Smith, me ajuda, por favor. Ô, bebê, sinto falta de te ver aqui. Oi, sentando, quicando, beijando essa boca que é só sua. Igual a você, não acho nem na Terra, nem na Lua. Jerry Smith chegou pra ajudar Humberto e Ronaldo. Atende o coração desse pobre coitado. Não fala não pra mim, bebê. Senão eu morro de beber. Nessa fossa que eu tô, não dá. É só você pra me salvar. Não fala não pra mim, bebê. Senão eu morro de beber. Fala que ainda sou o seu amor. Salva meu coração, por favor. Não fala não pra mim, bebê. Ô, bebê, sinto falta de te ver aqui. Oi, sentando, quicando, beijando essa boca que é só sua. Igual a você, não acho nem na Terra, nem na Lua. Jerry Smith chegou pra ajudar Humberto e Ronaldo. Atende o coração desse pobre coitado. Não fala não pra mim, bebê. Senão eu morro de beber. Nessa fossa que eu tô, não dá. E é só você pra me salvar. Não fala não pra mim, bebê. Senão eu morro de beber. Fala que ainda sou o seu amor. Humberto e Ronaldo, ajuda, por favor. Não fala não pra mim, bebê. Senão eu morro de beber. Fala que ainda sou o seu amor. Humberto e Ronaldo, ajuda, por favor. Não fala não pra mim, bebê.  "
7,Safadômetro,Thiago Matheus, Sou um cara apaixonado. Sou um homem prendado. Um sujeito fiel. Mas cê sabe do meu passado. O quanto eu era safado. Vivia no motel. Mas você não acreditou. Me levou pra balada. E o nosso amor acabou. Quando eu vi uma safada. Meu safadômetro explodiu. Meu safadômetro explodiu. Mandei minha namorada lá pra. Uuh Que pariu. Meu safadômetro explodiu. Não consigo controlar. Quem nasceu pra ser safado. Não aprende a namorar. Sou um cara apaixonado. Sou um homem prendado. Um sujeito fiel. Mas cê sabe do meu passado. O quanto eu era safado. Vivia no motel. Mas você não acreditou. Me levou pra balada. E o nosso amor acabou. Quando eu vi uma safada. Meu safadômetro explodiu. Meu safadômetro explodiu. Mandei minha namorada lá pra. Uuh Que pariu. Meu safadômetro explodiu. Não consigo controlar. Quem nasceu pra ser safado. Não aprende a namorar. Meu safadômetro explodiu. Meu safadômetro explodiu. Mandei minha namorada lá pra. Uuh Que pariu. Meu safadômetro explodiu. Não consigo controlar. Quem nasceu pra ser safado. Não aprende a namorar. Explodiu.  
8,Sofazinho (part. Jorge e Mateus),Luan Santana," Quase uma missão impossível. Fazer amor com os seus pais em casa. Já pensou se rola um flagra. De mim não ia sobrar nada. Sua mãe, ela gosta tanto de mim. Seu pai virou meu parceiro de baralho. Eles não sabem o tanto que a gente aprontou. Naquele sofazinho de dois lugares. Imagina se ele falasse, nega. Daquelas nossas noites de amor. Sendo que o combinado era assistir um filme. No sofazinho de dois lugares. Imagina se ele falasse, nega. Daquelas nossas noites de amor. Sendo que o combinado era assistir um filme. Ai, ai, ai. Ai, ai, ai. Umderererê dererê. Umderererê dererê. Sua mãe, ela gosta tanto de mim. Seu pai virou meu parceiro de baralho. Eles não sabem o tanto que a gente aprontou. Naquele sofazinho de dois lugares. Imagina se ele falasse, nega. Daquelas nossas noites de amor. Sendo que o combinado era assistir um filme. No sofazinho de dois lugares. Imagina se ele falasse, nega. Daquelas nossas noites de amor. Sendo que o combinado era assistir um filme. No sofazinho de dois lugares. Imagina se ele falasse, nega. Daquelas nossas noites de amor. Sendo que o combinado era assistir um filme. No sofazinho de dois lugares. Imagina se ele falasse, nega. Daquelas nossas noites de amor. Sendo que o combinado era assistir um filme. Ai, ai. Ai, ai, ai. Umderererê dererê. Umderererê derê. Naquele sofazinho de dois lugares.  "
9,Contramão,Gustavo Mioto, Me fala qual é o seu perfume. Que ainda hoje eu vou comprar. Tô sentindo minha vida tão sem cheiro. E eu já sei qual quero dar. Não quero ser precipitado. Muito menos te assustar. Mas é nesse teu sorriso. Que o meu beijo quer morar. E nas curvas do seu corpo. Invadir a contramão. Dar de frente com seu peito. SOS coração. Conheci o amor. Só de te olhar. Tava quase congelando. Você veio pra esquentar. Conheci o amor. E ele me fez ver. Que eu voei tempo demais. Deixa eu pousar em você. Me fala qual é o seu perfume. Que ainda hoje eu vou comprar. Tô sentindo a minha vida tão sem cheiro. E eu já sei qual quero dar. Não quero ser precipitado. Muito menos te assustar. Mas é nesse teu sorriso. Que o meu beijo quer morar. E nas curvas do seu corpo. Invadir a contramão. Dar de frente com teu peito. SOS coração. Conheci o amor. Só de te olhar. Tava quase congelando. Você veio pra esquentar. Conheci o amor. E ele me fez ver. Que eu voei tempo demais. Deixa eu pousar em você. Deixa eu pousar em você. Deixa eu pousar em você.  
