,titulo,artista,letras
10,Preciso Me Encontrar,Cartola, Deixeme ir. Preciso andar. Vou por aí a procurar. Rir pra não chorar. Deixeme ir. Preciso andar. Vou por aí a procurar. Rir pra não chorar. Quero assistir ao sol nascer. Ver as águas dos rios correr. Ouvir os pássaros cantar. Eu quero nascer. Quero viver. Deixeme ir. Preciso andar. Vou por aí a procurar. Rir pra não chorar. Se alguém por mim perguntar. Diga que eu só vou voltar. Depois que me encontrar. Quero assistir ao sol nascer. Ver as águas dos rios correr. Ouvir os pássaros cantar. Eu quero nascer. Quero viver. Deixeme ir. Preciso andar. Vou por aí a procurar. Rir pra não chorar. Deixeme ir preciso andar. Vou por aí a procurar. Rir pra não chorar. Deixeme ir preciso andar. Vou por aí a procurar. Rir pra não chorar.  
11,Ah! Como Eu Amei,Benito Di Paula," O amor que eu tenho guardado no peito. Me faz ser alegre, sofrido e carente . AAAHHH Como eu amei. Eu sonho, sou verso, . sou terra, sou sol. sentimento aberto. AAAHHH Como eu amei. AAAHHH Eu caminhei. AAAHHH Nao entendi. Eu era feliz, era a vida. Minha espera acabou. Meu corpo cansado e eu mais velho. Meu sorriso sem graça chorou. AAAHHH Como eu amei. AAAHHH Eu caminhei. Tem dias que eu paro. Me lembro e choro,. Com medo eu reflito que . nao fui perfeito. AAAHHH Como eu amei. Eu sonho, sou verso, . sou terra, sou sol. sentimento aberto. AAAHHH Como eu amei. AAAHHH Eu caminhei. AAAHHH Nao entendi. Eu era feliz, era a vida. Minha espera acabou. Meu corpo cansado e eu mais velho. Meu sorriso sem graça chorou. AAAHHH Como eu amei. AAAHHH Eu caminhei.  "
12,Meu Ébano,Alcione," É. Você um negão. De tirar o chapéu. Não posso dar mole. Senão você créu. Me ganha na manha e baubau. Leva meu coração. É. Você é um ébano. Lábios de mel. Um príncipe negro. Feito a pincel. É só melanina. Cheirando à paixão. É. Será que eu caí. Na sua rede. Ainda não sei. Sei não. Mas tô achando. Que já dancei. Na tentação da sua cor. Pois é. Me pego toda hora. Querendo te ver. Olhando pras estrelas. Pensando em você. Negão, eu tô com medo. Que isso seja amor. Moleque levado. Sabor de pecado. Menino danado. Fiquei balançada. Confesso. Quase perco a fala. Com seu jeito. De me cortejar. Que nem mestresala. Meu preto retinto. Malandro distinto. Será que é instinto. Mas quando te vejo. Enfeito meu beijo. Retoco o batom. A sensualidade. Da raça é um dom. É você, meu ébano. É tudo de bom. (Repetir a letra). Moleque levado. Sabor de pecado. Menino danado. Fiquei balançada. Confesso. Quase perco a fala. Com seu jeito. De me cortejar. Que nem mestresala. Meu preto retinto. Malandro distinto. Será que é instinto. Mas quando te vejo. Enfeito meu beijo. Retoco o batom. A sensualidade. Da raça é um dom. É você, meu ébano. É tudo de bom.  "
13,Andança,Beth Carvalho," Vim, tanta areia andei. Da lua cheia eu sei. Uma saudade imensa. Vagando em verso eu vim. Vestido de cetim. Na mão direita, rosas. Vou levar. Olha a lua mansa (me leva amor). Se derramar. Ao luar descansa. Meu caminhar (amor). Meu olhar em festa (me leva amor). Se fez feliz. Lembrando a seresta. Que um dia eu fiz (por onde for quero ser seu par). Já me fiz a guerra (me leva amor). Por não saber. Que esta terra encerra. Meu bemquerer (amor). E jamais termina. Meu caminhar (me leva amor). Só o amor me ensina. Onde vou chegar (por onde for quero ser seu par). Rodei de roda, andei. Dança da moda, eu sei. Cansei de ser sozinha. Verso encantado, usei. Meu namorado é rei. Nas lendas do caminho. Onde andei. No passo da estrada (me leva amor). Só faço andar. Tenho meu amor. Pra me acompanhar (amor). Vim de longe léguas. Cantando eu vim (me leva amor). Vou, não faço tréguas. Sou mesmo assim (por onde for quero ser seu par). Já me fiz a guerra (me leva amor). Por não saber. Que esta terra encerra (amor). Meu bemquerer. E jamais termina. Meu caminhar (me leva amor). Só o amor me ensina. Onde vou chegar (por onde for quero ser par).  "
14,A Amizade,Fundo de Quintal," La laiá, la laiá, la laiá, la laiá. La laiá, la laiá, la laiá, la laiá. Valeu por você existir, amigo. Amigo, hoje a minha inspiração. Se ligou em você. E em forma de samba. Mandou lhe dizer. Tão outro argumento. Qual nesse momento. Me faz penetrar. Por toda nossa amizade. Esclarescendo a verdade. Sem medo de agir. Em nossa intimidade. Você vai me ouvir. Foi bem cedo na vida que eu procurei. Encontrar novos rumos num mundo melhor. Com você fique certo que jamais falhei. Pois ganhei muita força tornando maior. A amizade. Nem mesmo a força do tempo irá destruir. Somos verdade. Nem mesmo este samba de amor pode nos resumir. Quero chorar o seu choro. Quero sorrir seu sorriso. Valeu por você existir, amigo. Quero chorar o seu choro. Quero sorrir seu sorriso. Valeu por você existir, amigo.  "
15,Aquarela do Brasil,Ary Barroso," Brasil, meu Brasil brasileiro. Meu mulato inzoneiro. Vou cantarte nos meus versos. O Brasil, samba que dá. Bamboleio, que faz gingar. O Brasil do meu amor. Terra de Nosso Senhor. Brasil Brasil Pra mim Pra mim. Ô, abre a cortina do passado. Tira a mãe preta do cerrado. Bota o rei congo no congado. Brasil Brasil. Deixa cantar de novo o trovador. À merencória luz da lua. Toda canção do seu amor. Quero ver essa Dona caminhando. Pelos salões, arrastando. O seu vestido rendado. Brasil Brasil Prá mim Prá mim. Brasil, terra boa e gostosa. Da morena sestrosa. De olhar indiferente. O Brasil, samba que dá. Para o mundo admirar. O Brasil do meu amor. Terra de Nosso Senhor. Brasil Brasil Prá mim Prá mim. Esse coqueiro que dá coco. Onde eu amarro a minha rede. Nas noites claras de luar. Ô Estas fontes murmurantes. Onde eu mato a minha sede. E onde a lua vem brincar. Ô Esse Brasil lindo e trigueiro. É o meu Brasil brasileiro. Terra de samba e pandeiro. Brasil Brasil.  "
16,Canto das Três Raças,Clara Nunes," Ninguém ouviu. Um soluçar de dor. No canto do Brasil. Um lamento triste. Sempre ecoou. Desde que o índio guerreiro. Foi pro cativeiro. E de lá cantou. Negro entoou. Um canto de revolta pelos ares. No Quilombo dos Palmares. Onde se refugiou. Fora a luta dos Inconfidentes. Pela quebra das correntes. Nada adiantou. E de guerra em paz. De paz em guerra. Todo o povo dessa terra. Quando pode cantar. Canta de dor. E ecoa noite e dia. É ensurdecedor. Ai, mas que agonia. O canto do trabalhador. Esse canto que devia. Ser um canto de alegria. Soa apenas. Como um soluçar de dor.  "
17,Fulminante,Mumuzinho," Eu amei. Nem sempre se calcula o risco, mesmo assim, eu amei. Desperdicei tanto sorriso, mas no fim eu chorei. Mas deixa eu chorar, eu posso me virar sozinho. Eu sobrevivo sem carinho pra ninguém me machucar. Eu ando desacreditado, o amor passou e fez estrago. E o melhor é me fechar, me fechar. Ai você vem me deu proteção. Baixou minha guarda, mexeu com a emoção. Tiro fulminante no meu coração. Já era, já era. O amor quando cerca, não da pra correr. Pode até ferir mas eu quero viver. Eu corro esse risco se for com você. Já era, já era. O amor. Eu amei. Nem sempre se calcula o risco, mesmo assim, eu amei. Desperdicei tanto sorriso, mas no fim eu chorei. Mas deixa eu chorar, eu posso me virar sozinho. Eu sobrevivo sem carinho pra ninguém me machucar. Eu ando desacreditado, o amor passou e fez estrago. E o melhor é me fechar, me fechar. Ai você vem me deu proteção. Baixou minha guarda, mexeu com a emoção. Tiro fulminante no meu coração. Já era, já era. O amor quando cerca, não da pra correr. Pode até ferir mas eu quero viver. Eu corro esse risco se for com você. Já era, já era. O amor. Ai você vem me deu proteção. Baixou minha guarda, mexeu com a emoção. Tiro fulminante no meu coração. Já era, já era. O amor quando cerca, não da pra correr. Pode até ferir mas eu quero viver. Eu corro esse risco se for com você. Já era, já era. O amor. Já era, já era. O amor. Eu amei.  "
18,Trem das Onze,Adoniran Barbosa," Não posso ficar nem mais um minuto com você. Sinto muito amor, mas não pode ser. Moro em Jaçanã. Se eu perder esse trem. Que sai agora às onze horas. Só amanhã de manhã. Além disso, mulher. Tem outra coisa. Minha mãe não dorme. Enquanto eu não chegar. Sou filho único. Tenho minha casa para olhar. E eu não posso ficar.  "
19,A Loba,Alcione," Sou doce, dengosa, polida. Fiel como um cão. Sou capaz de te dar. Minha vida.... Mas olha. Não pise na bola. Se pular a cerca. Eu detono. Comigo não rola.... Sou de me entregar. De corpo e alma na paixão. Mas não tente nunca. Enganar meu coração. Amor pra mim. Só vale assim. Sem precisar pedir perdão.... Adoro sua mão atrevida. Seu toque, seu simples olhar. Já me deixa despida. Mas saiba que eu. Não sou boba. Debaixo da pele de gata. Eu escondo uma loba.... Quando estou amando. Eu sou mulher de um homem só. Desço do meu salto. Faço o que te der prazer. Mas, oh meu rei. A minha lei. Você tem que saber.... Sou mulher de te deixar. Se você me trair. E arranjar um novo amor. Só pra me distrair.... Me balança mas não me destrói. Porque chumbo trocado não dói. Eu não como na mão. De quem brinca. Com a minha emoção.... Sou mulher capaz de tudo. Pra te ver feliz. Mas também sou de cortar. O mal pela raiz.... Não divido você com ninguém. Não nasci pra viver num harém. Não me deixe saber. Ou será bem melhor prá você. Me esquecer.... Adoro sua mão atrevida. Seu toque, seu simples olhar. Já me deixa despida. Mas saiba que eu. Não sou boba. Debaixo da pele de gata. Eu escondo uma loba. Quando estou amando. Eu sou mulher de um homem só. Desço do meu salto. Faço o que te der prazer. Mas, oh meu rei. A minha lei. Você tem que saber.... Sou mulher de te deixar. Se você me trair. E arranjar um novo amor. Só pra me distrair.... Me balança mas não me destrói. Porque chumbo trocado não dói. Eu não como na mão. De quem brinca. Com a minha emoção.... Sou mulher capaz de tudo. Pra te ver feliz. Mas também sou de cortar. O mal pela raiz.... Não divido você com ninguém. Não nasci pra viver num harém. Não me deixe saber. Ou será bem melhor prá você.... Sou mulher capaz de tudo. Pra te ver feliz. Mas também sou de cortar. O mal pela raiz.... Não divido você com ninguém. Não nasci pra viver num harém. Não me deixe saber. Ou será bem melhor prá você. Me esquecer....  "
20,Mulheres,Martinho da Vila," Já tive mulheres de todas as cores. De várias idades, de muitos amores. Com umas até certo tempo fiquei. Pra outras apenas um pouco me dei. Já tive mulheres do tipo atrevida. Do tipo acanhada, do tipo vivida. Casada carente, solteira feliz. Já tive donzela e até meretriz. Mulheres cabeça e desequilibradas. Mulheres confusas, de guerra e de paz. Mas nenhuma delas me fez tão feliz. Como você me faz. Procurei em todas as mulheres a felicidade. Mas eu não encontrei e fiquei na saudade. Foi começando bem, mas tudo teve um fim. Você é o sol da minha vida, a minha vontade. Você não é mentira, você é verdade. É tudo o que um dia eu sonhei pra mim. Já tive mulheres de todas as cores. De várias idades, de muitos amores. Com umas até certo tempo fiquei. Pra outras apenas um pouco me dei. Já tive mulheres do tipo atrevida. Do tipo acanhada, do tipo vivida. Casada carente, solteira feliz. Já tive donzela e até meretriz. Mulheres cabeça e desequilibradas. Mulheres confusas, de guerra e de paz. Mas nenhuma delas me fez tão feliz. Como você me faz. Procurei em todas as mulheres a felicidade. Mas eu não encontrei e fiquei na saudade. Foi começando bem, mas tudo teve um fim. Você é o sol da minha vida, a minha vontade. Você não é mentira, você é verdade.. É tudo o que um dia eu sonhei pra mim. Procurei em todas as mulheres a felicidade. Mas eu não encontrei e fiquei na saudade. Foi começando bem, mas tudo teve um fim. Você é o sol da minha vida, a minha vontade. Você não é mentira, você é verdade. É tudo o que um dia eu sonhei pra mim.  "
