,titulo,artista,letras
0,Sinto a Sua Falta,Ferrugem," E se eu te disser que não estou nem dormindo. E se eu te disser que não estou nem saindo. Tanta gente mas ninguém me interessa. Eu sinto sua falta. Vejo na TV um filme repetido. Pra matar o tempo eu devoro os livros. Mas quando a saudade sopra em meu ouvido. Eu sinto sua falta. Às vezes eu acordo assim. Com furacão dentro de mim. Perdido e carente de uma ligação. Querendo uma resposta. Impossível não lembrar. Do nosso amor, da trajetória. Tatuou meu coração. Em minha vida fez história. Fomos um casal de invejar. Nós tínhamos defeitos tão perfeitos. Difícil acreditar, pra mim não acabou. (Não acabou, não). Duvido que não tenha. Nem uma pontinha de saudade. Se existe amor, esquece a vaidade.  "
1,Eu Juro,Ferrugem," Todo abraço é muito bemvindo. Só que o seu é mais apertado. Oh oh oh, oh oh oh. Um carinho é sempre gostoso. Só que o seu é mais delicado. Oh oh oh, oh oh oh. Você foi embora tem uma semana. E aquele beijo, me causou insônia. Sonho acordado pensando em você. E eu não me canso de te amar. Não vejo a hora de chegar o dia. Anoitecer na sua companhia. Eu e você querendo sem parar. Amar, amar e amar. Eu juro, que eu não te amo pouco, eu amo muito. Se quiser ouvir mais alto. Vou gritar bem lá do fundo. Eu juro, que eu não te amo pouco, eu amo muito. Se quiser ouvir baixinho. Vou falar no ouvidinho. Que eu te amo demais.  "
2,É Natural (part. Bruno Cardoso),Ferrugem," Eu sei que vou sofrer um tempo é natural. Não é assim que some. Quem dera eu acordasse amanhã. Sem lembrar de nada, nem seu nome. Difícil vai ser te reencontrar. E fingir que estou bem, que não me abalei. E agir naturalmente pra você não ver. Que dentro dos meus olhos reflete você. Sera que eu vou conseguir. Sorrir com o coração chorando. E se você me abraçar. Eu vou fingir que estou sonhando. Por um segundo acreditar. Que a gente ainda esta namorando. Toda vez que eu tento te esquecer. Me lembro mais. E tudo que eu faço tem um pouco de você. Eu tento te expulsar da mente. Mas você não sai. Por isso eu não me sinto preparado pra te ver.  "
3,Pra Você Acreditar,Ferrugem," Pensa que eu não reparei que você passou em claro a madrugada inteira. Quase nem te reconheço revirando do avesso a minha carteira. Procurando em minhas coisas algo que alimente esse ciúme sem sentido. E eu observando tudo e morrendo de vontade de dormir contigo. O que eu tenho que provar pra você acreditar. Nada aconteceu, meu amor é teu. Sem você acho que nem existiria eu. Olha bem no meu olhar, você vai notar enfim. Que dentro de mim o amor se fez. Desde o dia em que eu te vi pela primeira vez. O que eu não faria pra esse amor vencer. Que louco eu seria de perder você. Sem o seu carinho eu não sou ninguém. Você me faz tão bem, você me faz tão bem.  "
4,Minha Namorada,Ferrugem, Quer ser minha namorada. Dividir um sonho novo. De aliança e de mãos dadas. Vou te perguntar de novo. Quer ser minha namorada. De rolê pela cidade. Ou num beijo de pipoca. Vendo até Sessão da Tarde. Eu tenho sonhos. E em todos os meus planos tem você e eu. Algo mudou em mim. Depois daquele beijo que me deu. Me sinto adolescente quando você chega mais perto de mim. Nunca me senti assim e vou até o fim. Põe a sua mão na minha. Acho que essa vez é pra valer. Já pensou no dia de chuvinha. Nós dois dormindo de conchinha. Só falta você me responder. Põe a sua mão na minha. Acho que essa vez é pra valer. Já pensou no dia de chuvinha. Nós dois dormindo de conchinha. Só falta você me responder. Quer ser minha namorada. De rolê pela cidade. Ou num beijo de pipoca. Vendo até Sessão da Tarde. Eu tenho sonhos. E em todos os meus planos tem você e eu. Algo mudou em mim. Depois daquele beijo que me deu. Me sinto adolescente quando você chega mais perto de mim. Nunca me senti assim e vou até o fim. Põe a sua mão na minha. Acho que essa vez é pra valer. Já pensou no dia de chuvinha. Nós dois dormindo de conchinha. Só falta você me responder. (Põe a sua mão na minha). Acho que essa vez é pra valer. (Já pensou no dia de chuvinha). Nós dois dormindo de conchinha. Só falta você me responder. Quer ser minha namorada.  
5,Sua Mãe Vai Me Amar,Turma do Pagode," Não mexe com o coração que tá quieto. Não é esperto, vai acabar se apaixonando. Cê corre o risco de sofrer saudade. Não é maldade, eu já vou logo avisando. É que o poder que essa boca tem. Deixa gostinho de vontade a semana inteira. E o B.O. vai ser gigante se eu gostar também. É que eu só jogo sério. Não entro em cama só por brincadeira. Eu sou o cara que seu ex vai odiar. Sua mãe vai amar. E você nunca vai esquecer. E depois que a gente se beijar. De quinta a quinta vai pedir pra mim o TBT. Eu sou o cara que seu ex vai odiar. Sua mãe vai amar. E você nunca vai esquecer. E depois que a gente se beijar. De quinta a quinta vai pedir pra mim o TBT. Não mexe com o coração que tá quieto. Não é esperto, vai acabar se apaixonando. Cê corre o risco de sofrer saudade. Não é maldade, eu já vou logo avisando. É que o poder que essa boca tem. Deixa gostinho de vontade a semana inteira. E o B.O. vai ser gigante se eu gostar também. É que eu só jogo sério. Não entro em cama só por brincadeira. Eu sou o cara que seu ex vai odiar. Sua mãe vai amar. E você nunca vai esquecer. E depois que a gente se beijar. De quinta a quinta vai pedir pra mim o TBT. Eu sou o cara que seu ex vai odiar. Sua mãe vai amar. E você nunca vai esquecer. E depois que a gente se beijar. De quinta a quinta vai pedir pra mim o TBT. Eu sou o cara que seu ex vai odiar. Sua mãe vai amar. E você nunca vai esquecer. E depois que a gente se beijar. De quinta a quinta vai pedir pra mim o TBT. Eu sou o cara que seu ex vai odiar. Sua mãe vai amar. E você nunca vai esquecer. E depois que a gente se beijar. De quinta a quinta vai pedir pra mim o TBT.  "
6,Pirata e Tesouro,Ferrugem," Amar é tão sagrado pra quem sabe amar. Jamais confunda amor com se acostumar. Tem que pulsar, tem que apostar a todo o tempo. Pra que o nosso sentimento possa renovar. Hipocrisia é pintar amor só de fachada. Quando chega em casa, cada um vai pro seu lado. Não tem cheiro, nem abraço, nem carinho. Boa noite sem beijinho, dorme junto, separado. Tem casal que expõe tanta foto na rede e não é de verdade. Tem casal que se ama demais e preserva sua intimidade. Eu ainda acredito na boda de prata, na boda de ouro. Tem amor que é pirata, tem amor que é tesouro. Quando a gente se ilude, a cabeça pira. (É mentira, é mentira). E quando a gente se completa, é só felicidade. (É verdade, é verdade). Quando a maré não tá pra peixe, o barco vira. (É mentira, é mentira). Quando tá junto na alegria ou na adversidade. (É verdade) é verdade. Amar é tão sagrado pra quem sabe amar. Jamais confunda amor com se acostumar. Tem que pulsar, tem que apostar a todo o tempo. Pra que o nosso sentimento possa renovar. Hipocrisia é pintar amor só de fachada. Quando chega em casa, cada um vai pro seu lado. Não tem cheiro, nem abraço, nem carinho. Boa noite sem beijinho, dorme junto, separado. Tem casal que expõe tanta foto na rede e não é de verdade. Tem casal que se ama demais e preserva sua intimidade. Eu ainda acredito na boda de prata, na boda de ouro. Tem amor que é pirata, tem amor que é tesouro. Quando a gente se ilude, a cabeça pira. (É mentira, é mentira). E quando a gente se completa, é só felicidade. (É verdade, é verdade). Quando a maré não tá pra peixe, o barco vira. (É mentira, é mentira). Quando tá junto na alegria ou na adversidade. É verdade, é verdade. Quando a gente se ilude, a cabeça pira. É mentira (é mentira). E quando a gente se completa, é só felicidade. (É verdade, é verdade). Quando a maré não tá pra peixe, o barco vira. (É mentira, é mentira). Quando tá junto na alegria ou na adversidade. (É verdade) é verdade. Amar é tão sagrado pra quem sabe amar.  "
7,Chave e Cadeado,Sorriso Maroto," Se o tempo fosse remédio. Eu não tava ligando outra vez pra você. Eu tentei, fiquei longe e quieto. Assistindo tudo isso acontecer. Vi seu primeiro beijo em um estranho. Fotos de vinho e taças pro jantar. E a cabeça já tá desenhando. Aquela cena que nenhum ex quer imaginar. Não dá. Coitado desse cara aí. Não te conhece, nem sabe o que você gosta. Não vai fazer metade do que eu fiz. Tem que respeitar, porque eu sou foda. Coitado desse cara aí. Tá procurando abrigo em lugar ocupado. Conta pra ele que é louca por mim. Que, do seu coração, eu tenho a chave e o cadeado. E eu deixei trancado. E eu deixei trancado. Se o tempo fosse remédio. Eu não tava ligando outra vez pra você. Eu tentei, fiquei longe e quieto. Assistindo tudo isso acontecer. Vi seu primeiro beijo em um estranho. Fotos de vinho e taças pro jantar. E a cabeça já tá desenhando. Aquela cena que nenhum ex quer imaginar. Não dá. Coitado desse cara aí. Não te conhece, nem sabe o que você gosta. Não vai fazer metade do que eu fiz. Tem que respeitar, porque eu sou foda. Coitado desse cara aí. Tá procurando abrigo em lugar ocupado. Conta pra ele que é louca por mim. Que, do seu coração, eu tenha a chave e o cadeado. Coitado desse cara aí. Não te conhece, nem sabe o que você gosta. Não vai fazer metade do que eu fiz. Tem que respeitar, porque eu sou foda. Coitado desse cara aí. Tá procurando abrigo em lugar ocupado. Conta pra ele que é louca por mim. Que, do seu coração, eu tenho a chave e o cadeado. E eu deixei trancado. E eu deixei trancado. O que é meu tá guardado.  "
8,Refém,Dilsinho," Aconteceu. Minha vida estava no lugar. Tudo parecia se encaixar. Foi quando eu te vi. Escureceu. Tudo que era verdadeiro em mim. Num instante foi chegando ao fim. Foi quando eu te vi. E as loucuras dentro do cinema. Aquela linda cena que a gente viveu. E num quarto de motel barato. O espelho enfumaçado e um recado seu. Uma paixão de contos literários. Você é a Julieta e eu, o seu Romeu. Amor proibido, em sigilo que faz bem. Você me arranha. E no final de tudo sou eu quem apanha. Inventando sempre uma desculpa estranha. Pra disfarçar as marcas desse nosso amor. Para por favor, tô falando sério. Pra que se apressar em revelar o mistério. Se existe sentimento não é adultério. Você sempre soube que eu já tinha alguém. Não venha com chantagem, me fazer refém.  "
9,Até Que Durou,Péricles, Tentei fazer valer a pena. Passei por cima dos problemas. Achei que eu era o bastante. Mas não fui pra você. Tentei ser um cara perfeito. Eu fiz as coisas do seu jeito. Queria ser mais importante. Mas não fui pra você. Até que durou. Me diz o porque. Perdeu tanto tempo aqui. Te faço um favor. Melhor eu sumir. Fui mais um nas suas mãos. Não sei se por carência ou falta de opção. Só sei que eu senti amor. Que pena só eu senti amor. O que faço com os planos. Dos próximos anos. Juro que não sei. Só sei que eu senti amor. Que pena só eu senti amor.  
