,titulo,artista,letras
0,Lugar Secreto,Gabriela Rocha," Tu és tudo o que eu mais quero. O meu fôlego, Tu és. Em Teus braços, é o meu lugar. Estou aqui, estou aqui. Pai, eu amo Sua presença. Teu sorriso é vida em mim. Eu seguro em Suas mãos. Confio em Ti, confio em Ti. Quero ir mais fundo. Levame mais perto. Onde eu Te encontro. No lugar secreto. Aos Teus pés, me rendo. Pois a Tua glória quero ver. Pai, eu amo Sua presença. Teu sorriso é vida em mim. Eu seguro em Suas mãos. Eu confio em Ti, confio em Ti. Quero ir mais fundo. Levame mais perto. Onde eu Te encontro. No lugar secreto. Aos Teus pés, me rendo. Pois, a Tua glória, quero ver. Tudo o que eu mais quero é Te ver. Me envolva com Tua glória e poder. Tua majestade é real. Tua voz ecoa em meu ser. Quero ir mais fundo. Levame mais perto. Onde eu Te encontro. No lugar secreto. Aos Teus pés, me rendo. Pois, a Tua glória, eu quero ver. Tudo o que eu mais quero é Te ver. Me envolva com Tua glória e poder. Tua majestade é real. Tua voz ecoa em meu ser.  "
1,Aquieta Minh'alma,Ministério Zoe," Aquieta minh'alma. Faz meu coração ouvir Tua voz. Me chama pra perto. Só assim eu não me sinto só. Aquieta minh'alma. Faz meu coração ouvir Tua voz. Me chama pra perto. Só assim eu não me sinto só. Porque, na verdade, eu descobri que tudo o que eu preciso está em Ti. Mas meu coração é teimoso demais pra admitir. Sei que depender é como viver perigosamente. Mas eu preciso acreditar e confiar no que Você me diz. Aquieta minh'alma. Faz meu coração ouvir Tua voz. Me chama pra perto. Só assim eu não me sinto só. Eu sei que, mesmo sem entender, Você está no controle. Então, me esconda no Teu coração. Me amarre a Ti pra eu não desistir. Eu não quero mais fugir da Tua vontade pra mim. Eu sei que vai ser difícil. Mas Você estará sempre comigo. E mesmo que minh'alma grite e tente me fazer voltar atrás. Eu vou confiar, eu vou descansar. Me lançar no Teu amor. No Teu amor, Senhor. O tempo não pode apagar, as muitas águas nunca levarão o amor. Que Você sente por mim, eu sei que tudo vai se cumprir. O tempo não pode apagar, as muitas águas nunca levarão o amor. Que Você sente por mim, eu sei que tudo vai se cumprir. Vai ser difícil, eu sei, largar tudo por Você. Mas eu sei que quando eu pensar em desistir. Você estará ao meu lado. Me segurando, me assegurando de que tudo vai ficar bem. Tudo vai ficar bem. Vai ser difícil, eu sei, largar tudo por Você. Mas eu sei que quando eu pensar em desistir. Você estará ao meu lado. Me segurando, me assegurando de que tudo vai ficar bem. Tudo vai ficar bem. E se eu cair, a Tua mão me levantará. E se eu chorar, toda lágrima Você enxugará. E se eu cair, a Tua mão me levantará. E se eu chorar, toda lágrima Você enxugará. Então vem. E aquieta minh'alma. Faz meu coração ouvir Tua voz. Me chama pra perto. Só assim eu não me sinto só. Aquieta minh'alma. Faz meu coração ouvir Tua voz. Me chama pra perto. Só assim eu não me sinto só. Porque, na verdade, eu descobri que tudo que eu preciso está em Ti. Mas meu coração é teimoso demais pra admitir. Sei que depender é como viver perigosamente. Mas eu preciso acreditar e confiar no que Você me diz.  "
2,Prioridade (versão ao vivo),Midian Lima," Filho. Sem intimidade Comigo, não há como você vencer. Sem dobrar os seus joelhos e na madrugada Me buscar. Sem examinar as escrituras. Não há como descobrir os segredos que Tenho pra você. Mas sondei seu coração e vi desejo de adorar. Foi pensando, então, que decidi Me revelar. E lhe mostrar alguns segredos para uma vida de vitória e de conquista. Escuta o que Eu vou lhe dizer. Filho. Enquanto Eu for sua prioridade, pode vir o que vier. Pode também contar Comigo, seja lá para o que for. Mil cairão ao seu lado e dez mil à sua direita. Mas você não será atingido, verá livramento. Sou Eu o seu Deus. Se lhe fecharem uma porta, outra pra você Eu abrirei. De preferência onde não tem parede. Só pra mostrar que Sou o Deus da sua vida. Sou o Deus da sua história. E ninguém irá sentar à mesa. Enquanto com glória Eu não lhe honrar. Mas sondei o seu coração e vi desejo de adorar. Foi pensando, então, que decidi Me revelar. E lhe mostrar alguns segredos para uma vida de vitória e de conquista. Escuta o que Eu vou lhe dizer. Filho. Enquanto Eu for sua prioridade, pode vir o que vier. Pode também contar Comigo, seja lá para o que for. Mil cairão ao seu lado e dez mil à sua direita. Mas você não será atingido, verá livramento. Sou Eu o seu Deus. Se lhe fecharem uma porta, outra pra você Eu abrirei. De preferência onde não tem parede. Só pra mostrar que Sou o Deus da sua vida. Sou o Deus da sua história. E ninguém irá sentar à mesa. Enquanto com glória Eu não lhe honrar. Pode também contar Comigo, seja lá para o que for. Mil cairão ao seu lado e dez mil à sua direita. Mas você não será atingido, verá livramento. Sou Eu o seu Deus. Se lhe fecharem uma porta, outra pra você Eu abrirei. De preferência onde não tem parede. Só pra mostrar que Eu Sou o Deus da sua vida. Sou o Deus da sua história. E ninguém irá sentar à mesa. Enquanto com glória Eu não lhe honrar. Filho, contigo Eu estou.  "
3,Jó,Midian Lima," Jó, como pode ainda adorar. Se não tem motivos pra cantar. Abandona esse Deus e morre. Mas não O adoro pelo que Ele faz. Nem menos por bens materiais. Eu O adoro pelo que Ele é. Eu sou d’Ele, tudo é d’Ele. Jó, você não tem motivos. Perdeu os seus bens, seus filhos, seus amigos. O que você vai fazer. Eu vou adorar, simplesmente adorar. Eu vou adorar. Deus me deu, Deus tomou. Bendito seja o nome do Senhor. A Ele a glória, a Ele a honra e o louvor. Jó, como pode ainda adorar. Se não tem motivos pra cantar. Abandona esse Deus e morre. Mas não O adoro pelo que Ele faz. Nem menos por bens materiais. Eu O adoro pelo que Ele é. Eu sou d’Ele, tudo é d’Ele. Jó, você não tem motivos. Perdeu os seus bens, seus filhos, seus amigos. O que você vai fazer. Eu vou adorar, simplesmente adorar. Eu vou adorar. Deus me deu, Deus tomou. Bendito seja o nome do Senhor. A Ele a glória, a Ele a honra e o louvor. A Ele a glória. A Ele a glória. A Ele a glória. A Ele a glória. A Ele a glória (oh, a Ele a glória). A Ele a glória (Ele merece toda a glória). A Ele a glória. Pra sempre, Amém. Amém. Deus me deu, Deus tomou. Bendito seja o nome do Senhor. A Ele a glória, a Ele a honra e o louvor. Deus me deu, Deus tomou. Bendito seja o nome do Senhor. A Ele a glória, a Ele a honra e o louvor. A Ele seja dado o louvor. Te damos todo o louvor, Senhor.  "
4,Deus e Eu,Leandro Borges," Não conte os teus maiores sonhos a ninguém. Não mostre a sua ferida para quem não tem. Remédio pra curála e forças para te erguer. Não, não, não, não. Não se lamente para quem quer ver tua dor. Não mostre sua fraqueza aos inimigos seus. Mostre só pra Deus. Não chore para quem não sabe decifrar. A lágrima de sofrimento em teu olhar. Existe um lugar que é próprio para isso. É você e Deus, é no altar. Quando eu contei meus sonhos para alguém. Me disseram são grandes demais pra você. Quando falei onde queria chegar. Me disseram pare por aqui não vá além. Mas com Deus foi bem diferente. Ele me disse vá em frente eu contigo estou. Quando eu senti medo de seguir. Disse Prossiga eu te fiz pra ser um vencedor. Desde então eu nunca mais me limitei. Eu guardei no coração as palavras de Deus. Descobri que os planos Dele para mim. São muito maiores que os meus. Eu vou chorar pra Deus, vou contar tudo pra Deus. Vou fechar a porta do meu quarto. E ficar a sós com Deus só ele e eu. Eu vou mostrar pra Deus todos os sonhos meus. Tudo em seu altar eu entregarei. A partir de hoje é Deus e eu e mais ninguém. Eu vou chorar pra Deus, vou contar tudo pra Deus. Vou fechar a porta do meu quarto. E ficar a sós com Deus só ele e eu. Eu vou mostrar pra Deus todos os sonhos meus. Tudo em seu altar eu entregarei. A partir de hoje é Deus e eu e mais ninguém. A partir de hoje é Deus e eu e mais ninguém.  "
5,Eu Cuido de Ti,Canção & Louvor," Quando todos os meus medos já não cabem mais em mim. Quando o céu está de bronze e parece que é o fim. Quando o vento está revolto e o mar não quer se acalmar. Quando as horas do relógio se demoram a passar. Muitas vezes os seus planos não consigo compreender. Mas prefiro confiar sem entender. Eu creio em Ti. Eu creio em Ti. Eu olho pra Ti. E espero em Ti. Quando você sente medo, do teu lado Eu estou. E é bom que você saiba que Eu sinto a tua dor. Nunca, nunca se esqueça que o mar posso acalmar. E que Eu sei o tempo certo da vitória te entregar. Este tempo é necessário pra te amadurecer. E depois tem novidade pra você. Eu cuido de Ti. Eu cuido de Ti. Descansa em mim. Comece a sorrir. O que Eu tenho é bem melhor. Pois só Eu sei do amanhã. Então recebe o abraço Meu. Pois da tua vida cuido Eu. Eu cuido de Ti. Eu cuido de Ti. Descansa em mim. Comece a sorrir.  "
6,Minha Vez,Ton Carfi," Bem na minha vez. De viver aquilo tudo que eu sonhei. Bem na hora que eu estava prestes a chegar. Na linha de chegada para conquistar. Bem na minha vez. Só Deus sabe quantas vezes eu busquei. Mas vi outra pessoa conquistar o que eu pedi. Aquilo que eu achava que era para mim. Perguntei para Deus. Por que o Senhor não quer me ouvir. Me frustrei, eu chorei. Pensei até em desistir. Mas quando eu calo, Ele me fala pra eu prosseguir. Se desanimo, Ele me diz Filho, estou aqui. Vai chegar a sua vez, não te esqueci. Pode confiar em mim. Aquilo que eu tenho preparado pra você. A sua imaginação não consegue prever. Ore outra vez, busque outra vez. Tente só mais uma vez. Bem na minha vez. De viver aquilo tudo que eu sonhei. Bem na hora que eu estava prestes a chegar. Na linha de chegada para conquistar. Bem na minha vez. Só Deus sabe quantas vezes eu busquei. Mas vi outra pessoa conquistar o que eu pedi. Aquilo que eu achava que era para mim. Perguntei para Deus. Por que o Senhor não quer me ouvir. Me frustrei, eu chorei. Pensei até em desistir. Mas quando eu calo, Ele me fala pra eu prosseguir. Se desanimo, Ele me diz Filho, estou aqui. Vai chegar a sua vez, não te esqueci. Pode confiar em mim. Aquilo que eu tenho preparado pra você. A sua imaginação não consegue prever. Ore outra vez, busque outra vez. Tente só mais uma vez. Mas quando eu calo, Ele me fala pra eu prosseguir. Se desanimo, Ele me diz Filho, estou aqui. Vai chegar a sua vez, não te esqueci. Pode confiar em mim. Aquilo que eu tenho preparado pra você. A sua imaginação não consegue prever. Ore outra vez, busque outra vez. Tente só mais uma vez.  "
7,Aleluia (part. Michely Manuely),Jotta A," Pai, eu quero te amar, tocar o teu coração. E me derramar aos teus pés. Mais perto eu quero estar, Senhor. E te adorar com tudo que eu sou. E te render glória e aleluia. Aleluia, Aleluia, Aleluia, Aleluia. Quando lutas vierem me derrubar. Firmado em ti eu estarei. Pois tu és o meu refúgio, oh, Deus. E não importa onde estiver. No vale ou no monte adorarei. A ti eu canto glória e aleluia. Aleluia, Aleluia, Aleluia, Aleuia. Senhor, eu preciso do teu olhar. Ouvir as batidas do teu coração. Me esconder nos teus braços, oh, Pai. Toda minha alma deseja a ti. Junto com os anjos cantarei. Tu és santo, exaltado, aleluia. Aleluia, Aleluia, Aleluia, Aleuia. Aleluia, Aleluia, Aleluia, Aleluia.  "
8,Raridade,Anderson Freire," Não consigo ir além do teu olhar. Tudo o que eu consigo é imaginar. A riqueza que existe dentro de você. O ouro eu consigo só admirar. Mas te olhando eu posso a Deus adorar. Sua alma é um bem que nunca envelhecerá. O pecado não consegue esconder. A marca de Jesus que existe em você. O que você fez ou deixou de fazer. Não mudou o início, Deus escolheu você. Sua raridade não está naquilo que você possui. Ou que sabe fazer. Isso é mistério de Deus com Você. Você é um espelho que reflete a imagem do Senhor. Não chore se o mundo ainda não notou. Já é o bastante Deus reconhecer o seu valor. Você é precioso, mais raro que o ouro puro de ofir. Se você desistiu, Deus não vai desistir. Ele está aqui pra te levantar se o mundo te fizer cair.  "
9,Deus e Eu (part. Dieggo Molina),Leandro Borges," Não conte os teus maiores sonhos a ninguém. Não mostre a sua ferida para quem não tem. Remédio pra curála e forças para te erguer. Não, não, não, não. Não se lamente para quem quer ver tua dor. Não mostre sua fraqueza aos inimigos seus. Mostre só pra Deus. Não chore para quem não sabe decifrar. A lágrima de sofrimento em teu olhar. Existe um lugar que é próprio para isso. É você e Deus, é no altar. Quando contei os meus sonhos para alguém. Me disseram são grandes demais pra você. Quando falei onde queria chegar. Me disseram pare por aqui não vá além. Mas com Deus foi bem diferente. Ele me disse vá em frente eu contigo estou. Quando eu senti medo de seguir. Disse prossiga eu te fiz pra ser um vencedor. Desde então eu nunca mais me limitei. Guardei no coração as palavras de Deus. Descobri que os planos Dele para mim. São muito maiores que os meus. Eu vou chorar pra Deus, vou contar tudo pra Deus. Vou fechar a porta do meu quarto. E ficar a sós com Deus só ele e eu. Eu vou mostrar pra Deus todos os sonhos meus. Tudo em seu altar eu entregarei. A partir de hoje é Deus e eu, e mais ninguém. No cuentes tus mayores sueños a nadie. No muestre tus heridas para quien no tiene. Remedio para curarte y fuerzas para levantarte. No, no, no, no. No te lamentes para quien quiera ver tu dolor. No te muestres débil a tus enemigos. Muéstrale a Dios. No, no, no llores para quien no sabe descifrar. La lágrima de sufrimiento en tu mirar. Existe un lugar que es proprio para esto. Eres tú y Dios, en el altar. Cuando conté mis sueños para alguien. Me dijeron son grandes demás para ti. Cuando hablé dónde quería llegar. Me dijeron que no vaya más allá. Pero con Dios fue muy diferente. Dijo siga porque contigo yo estoy. Cuando tuve miedo a seguir. Dijo que siga porque me hizo para ser vencedor. Fue entonces que jamás me limité. Guarde en mi corazón las palabras de Dios. Descubrí que Sus planes para mí. Son mucho mayores que los míos. Llolaré a Dios, contaré todo a Dios. Cerraré la puerta de mi cuarto. Y estaré a solas con Dios, solo Dios y yo. Yo mostraré a Dios todos los sueños mios. Todo en Su altar yo entregaré. A partir de hoy, solo Dios y yo. Llolaré a Dios, contaré todo a Dios. Cerraré la puerta de mi cuarto. Y estaré a solas con Dios, solo Dios y yo. Yo mostraré a Dios todos los sueños míos. Todo en su altar yo entregaré. A partir de hoy, solo Dios y yo. Eu vou chorar pra Deus, vou contar tudo pra Deus. Vou fechar a porta do meu quarto. E ficar a sós com Deus, só ele e eu. Yo mostraré a Dios, todos los sueños míos. Todo en Su altar yo entregaré. A partir de hoy, solo Dios y yo. A partir de hoje é Deus e eu. A partir de hoy, solo Dios y yo. Y nadie más, e mais ninguém. É Deus e eu, Es Dios y yo. E mais ninguém, y nadie más.  "
