,titulo,artista,letras
0,A Casa,Vinicius de Moraes," Era uma casa. Muito engraçada. Não tinha teto. Não tinha nada. Ninguém podia. Entrar nela, não. Porque na casa. Não tinha chão. Ninguém podia. Dormir na rede. Porque na casa. Não tinha parede. Ninguém podia. Fazer pipi. Porque penico. Não tinha ali. Mas era feita. Com muito esmero. Na Rua dos Bobos. Número Zero.  "
1,Soneto de Fidelidade,Vinicius de Moraes," De tudo, ao meu amor serei atento antes. E com tal zelo, e sempre, e tanto. Que mesmo em face do maior encanto. Dele se encante mais meu pensamento. Quero vivêlo em cada vão momento. E em seu louvor hei de espalhar meu canto. E rir meu riso e derramar meu pranto. Ao seu pesar ou seu contentamento. E assim quando mais tarde me procure. Quem sabe a morte, angústia de quem vive. Quem sabe a solidão, fim de quem ama. Eu possa lhe dizer do amor (que tive). Que não seja imortal, posto que é chama. Mas que seja infinito enquanto dure.  "
2,Onde Anda Você,Vinicius de Moraes," E por falar em saudade. Onde anda você. Onde andam os seus olhos. Que a gente não vê. Onde anda esse corpo. Que me deixou morto. De tanto prazer. E por falar em beleza. Onde anda a canção. Que se ouvia na noite. Dos bares de então. Onde a gente ficava. Onde a gente se amava. Em total solidão. Hoje eu saio na noite vazia. Numa boemia sem razão de ser. Na rotina dos bares. Que apesar dos pesares. Me trazem você. E por falar em paixão. Em razão de viver. Você bem que podia me aparecer. Nesses mesmos lugares. Na noite, nos bares. Onde anda você.  "
3,Garota De Ipanema,Tom Jobim," Olha que coisa mais linda. Mais cheia de graça. É ela, menina. Que vem e que passa. Num doce balanço. A caminho do mar. Moça do corpo dourado. Do sol de Ipanema. O seu balançado é mais que um poema. É a coisa mais linda que eu já vi passar. Ah, por que estou tão sozinho. Ah, por que tudo é tão triste. Ah, a beleza que existe. A beleza que não é só minha. Que também passa sozinha. Ah, se ela soubesse. Que quando ela passa. O mundo inteirinho se enche de graça. E fica mais lindo. Por causa do amor.  "
4,Eu Sei Que Vou Te Amar,Tom Jobim," Eu sei que vou te amar. Por toda a minha vida eu vou te amar. Em cada despedida eu vou te amar. Desesperadamente, eu sei que vou te amar. E cada verso meu será. Pra te dizer que eu sei que vou te amar. Por toda minha vida. Eu sei que vou chorar. A cada ausência tua eu vou chorar. Mas cada volta tua há de apagar. O que esta ausência tua me causou. Eu sei que vou sofrer a eterna desventura de viver. A espera de viver ao lado teu. Por toda a minha vida.  "
5,Pela Luz Dos Olhos Teus,Tom Jobim," Quando a luz dos olhos meus. E a luz dos olhos teus. Resolvem se encontrar. Ai, que bom que isso é, meu Deus. Que frio que me dá. O encontro desse olhar. Mas se a luz dos olhos teus. Resiste aos olhos meus. Só pra me provocar. Meu amor, juro por Deus. Me sinto incendiar. Meu amor, juro por Deus. Que a luz dos olhos meus. Já não pode esperar. Quero a luz dos olhos meus. Na luz dos olhos teus. Sem mais la ra ra ra. Pela luz dos olhos teus. Eu acho, meu amor, que só se pode achar. Que a luz dos olhos meus precisa se casar. (La ra ri ra ra ra). (La ra ri ra ra ra). Quando a luz dos olhos meus. E a luz dos olhos teus. Resolvem se encontrar. Ai, que bom que isso é, meu Deus. Que frio que me dá. O encontro desse olhar. Mas se a luz dos olhos teus. Resiste aos olhos meus. Só pra me provocar. Meu amor, juro por Deus. Me sinto incendiar. Meu amor, juro por Deus. Que a luz dos olhos meus. Já não pode esperar. Quero a luz dos olhos meus. Na luz dos olhos teus. Sem mais la ra ra ra. Pela luz dos olhos teus. Eu acho, meu amor, e só se pode achar. Que a luz dos olhos meus precisa se casar. Que a luz dos olhos meus precisa se casar. Que a luz dos olhos meus precisa se casar. Precisa se casar, precisa se casar.  "
6,Wave,Tom Jobim," Vou te contar. Os olhos já não podem ver. Coisas que só o coração pode entender. Fundamental é mesmo o amor. É impossível ser feliz sozinho. O resto é mar. É tudo que não sei contar. São coisas lindas que eu tenho pra te dar. Vem de mansinho à brisa e me diz. É impossível ser feliz sozinho. Da primeira vez era a cidade. Da segunda, o cais e a eternidade. Agora eu já sei. Da onda que se ergueu no mar. E das estrelas que esquecemos de contar. O amor se deixa surpreender. Enquanto a noite vem nos envolver. Da primeira vez era a cidade. Da segunda, o cais e a eternidade. Agora eu já sei. Da onda que se ergueu no mar. E das estrelas que esquecemos de contar. O amor se deixa surpreender. Enquanto a noite vem nos envolver. Vou te contar.  "
7,Rosa de Hiroshima,Vinicius de Moraes," Pensem nas crianças. Mudas telepáticas. Pensem nas meninas. Cegas inexatas. Pensem nas mulheres. Rotas alteradas. Pensem nas feridas. Como rosas cálidas. Mas, oh, não se esqueçam. Da rosa da rosa. Da rosa de Hiroshima. A rosa hereditária. A rosa radioativa. Estúpida e inválida. A rosa com cirrose. A antirosa atômica. Sem cor sem perfume. Sem rosa, sem nada.  "
8,O Pato,Vinicius de Moraes," Quén Quen Quén Quen. Quén Quen Quén Quen. Quén Quen Quén Quen. Quén Quen Quén Quen. Lá vem o Pato. Pata aqui, pata acolá. Lá vem o Pato. Para ver o que é que há. Lá vem o Pato. Pata aqui, pata acolá. Lá vem o Pato. Para ver o que é que há. O Pato pateta. Pintou o caneco. Surrou a galinha. Bateu no marreco. Pulou do poleiro. No pé do cavalo. Levou um coice. Criou um galo. Comeu um pedaço. De jenipapo. Ficou engasgado. Com dor no papo. Caiu no poço. Quebrou a tigela. Tantas fez o moço. Que foi pra panela. Quá Quá Quá Quá Quá. Quá Quá Quá Quá Quá. Quá Quá Quá Quá Quá. Lá vem o Pato. Pata aqui, pata acolá. Lá vem o Pato. Para ver o que é que há. Lá vem o Pato. Pata aqui, pata acolá. Lá vem o Pato. Para ver o que é que há. O Pato pateta. Pintou o caneco. Surrou a galinha. Bateu no marreco. Pulou do poleiro. No pé do cavalo. Levou um coice. Criou um galo. Comeu um pedaço. De jenipapo. Ficou engasgado. Com dor no papo. Caiu no poço. Quebrou a tigela. Tantas fez o moço. Que foi pra panela. Caiu no poço. Quebrou a tigela. Tantas fez o moço. Que foi pra panela.  "
9,Chega de Saudade,Tom Jobim," Vai minha tristeza. E diz a ela que sem ela não pode ser. Dizlhe numa prece. Que ela regresse. Porque eu não posso mais sofrer. Chega de saudade. A realidade é que sem ela não há paz. Não há beleza. É só tristeza e a melancolia. Que não sai de mim, não sai de mim, não sai. Mas se ela voltar. Que coisa linda, que coisa louca. Pois há menos peixinhos a nadar no mar. Do que os beijinhos que eu darei. Na sua boca. Dentro dos meus braços. Os abraços hão de ser milhões de abraços. Apertado assim, colado assim, calado assim. Abraços e beijinhos, e carinhos sem ter fim. Que é pra acabar com esse negócio de você viver sem mim. Não há paz. Não há beleza. É só tristeza e a melancolia. Que não sai de mim, não sai de mim, não sai. Dentro dos meus braços. Os abraços hão de ser milhões de abraços. Apertado assim, colado assim, calado assim. Abraços e beijinhos, e carinhos sem ter fim. Que é pra acabar com esse negócio de você viver sem mim. Não quero mais esse negócio de você longe de mim. Vamos deixar desse negócio de você viver sem mim.  "
