,titulo,artista,letras
0,10 Beijos de Rua,Léo Santana," Acabou outra vez. Foi cena repetida. Um tchau com gosto de fica. Me chamaram aqui pra sair. Nem no clima eu to. Mas só de raiva eu vou. Meu coração nem ia. Mas só que a teimosia. Chegou em mim parou, parou. Na primeira boca já senti remorso. Beijando mal de propósito. Torcendo pra acabar. O que eu nem devia começar. 10 de beijos de rua. Não valem metade do seu. No canto da boca. Imagina na boca. 10 beijos de rua. Não causa efeito. De quando me abraça com roupa. Imagina sem roupa.  "
1,Quando a Chuva Passar,Ivete Sangalo, Pra que falar. Se você não quer me ouvir. Fugir agora não resolve nada. Mas não vou chorar. Se você quiser partir. Às vezes a distância ajuda. E essa tempestade um dia vai acabar. Só quero te lembrar. De quando a gente andava nas estrelas. Nas horas lindas que passamos juntos. A gente só queria amar e amar e hoje eu tenho certeza. A nossa história não termina agora. Pois essa tempestade um dia vai acabar. Quando a chuva passar. Quando o tempo abrir. Abra a janela e veja eu sou o sol. Eu sou céu e mar. Eu sou seu e fim. E o meu amor é imensidão. Só quero te lembrar. De quando a gente andava nas estrelas. Nas horas lindas que passamos juntos. A gente só queria amar e amar e hoje eu tenho certeza. A nossa história não termina agora. Pois essa tempestade um dia vai acabar. Quando a chuva passar. Quando o tempo abrir. Abra a janela e veja eu sou o sol. Eu sou céu e mar. Eu sou seu e fim. E o meu amor é imensidão. Quando a chuva passar. Quando o tempo abrir. Abra a janela e veja eu sou o sol. Eu sou céu e mar. Eu sou seu e fim. E o meu amor é imensidão.  
2,Anjo,Saulo Fernandes," Hoje eu acordei mais cedo. E fiquei te olhando dormir. Imaginei algum suposto medo. Para que tão logo. Pudesse te cobrir. Tenho cuidado de você. Todo esse tempo. Você está sob o meu abraço. E minha proteção. Tenho visto você errar e crescer. Amar e voar. Você sabe onde pousar. Ao acordar já terei partido. Ficarei de longe, escondido. Mas sempre perto decerto. Como se eu fosse humano, vivo. Vivendo pra te cuidar, te proteger. Sem você me ver. Sem saber quem sou. Se sou anjo. Ou se sou. Seu amor. Acredita em anjo. Pois é, sou o seu. Soube que anda triste. Que sente falta de alguém. Que não quer amar ninguém. Por isso estou aqui. Vim cuidar de você. Te proteger, te fazer sorrir. Te entender, te ouvir. E quando tiver cansada. Cantar pra você dormir. Te colocar sobre as minhas asas. Te apresentar as estrelas do meu céu. Passar em Saturno e roubar o seu mais lindo anel. Vou secar qualquer lágrima. Que ousar cair. Vou desviar todo mal do seu pensamento. Estar contigo a todo momento. Sem que você me veja. Farei tudo, tudo que você deseja. Mas, de repente você me beija. O coração dispara. E a consciência sente dor. E eu descubro que além de anjo. Eu posso ser seu amor.  "
3,O Que Seria,Carlinhos Brown," Quem sabe nem era pra ser nossa. Aquela lua aquele céu azul. Quem sabe nem era pra ser nós. E o sei lá. Quem saberia o que seria de nós dois. Sem nós dois. A nave, o cais e mais nossas vidas. A nossa escola a destilar. O trago amargo dessa bebida. E depois. Quem saberia o que seria de nós dois. Sem nós dois. Neve esfria e eu sem ninguém. I will never say goodbye again. Se já não tens lar. Eu posso te dar o céu. Te dou luar. When you come back home. I’ll never be alone. Anymore.  "
4,Um Sinal (part. Melim),Ivete Sangalo," Eu jamais quis deixar você ir. Mas quem de nós poderia saber. O quanto difícil iria ser. Não ter sonhos pra compartilhar. Eu jamais quis deixar você ir. Mas quem de nós poderia saber. O quanto difícil iria ser. Não ter sonhos pra compartilhar. Aquelas palavras não saem da minha cabeça. Embora eu queira que você se esqueça. Pra gente pintar um novo momento. Um recomeço já sem sofrimento. Vou aonde for pra te encontrar. Temos o horizonte além do mar. Ainda temos tanto amor pra dar. Mesmo com medo. Eu quero me aventurar. E ficar, e ficar. Me dê um sinal do que eu devo fazer. De como agir, me diz aí. Mesmo com medo. Eu quero me aventurar. E ficar, e ficar. Me dê um sinal do que eu devo fazer. De como agir, me diz aí. Pra deixar ser (deixar ser). O que tem que ser. Só eu e você. Eu e você. Aquelas palavras não saem da minha cabeça. Embora eu queira que você se esqueça. Pra gente pintar um novo momento. Um recomeço já sem sofrimento. Vou aonde for pra te encontrar. Temos o horizonte além do mar. Ainda temos tanto amor pra dar. Mesmo com medo. Eu quero me aventurar. E ficar, e ficar. Me dê um sinal do que eu devo fazer. De como agir, me diz aí. Pra deixar ser (deixar ser). O que tem que ser (o que tem que ser). Só eu e você. Eu e você. Eu jamais quis deixar você ir. (Jamais, jamais).  "
5,Se Eu Não Te Amasse Tanto Assim,Ivete Sangalo," Meu coração, sem direção. Voando só por voar. Sem saber onde chegar. Sonhando em te encontrar. E as estrelas. Que hoje eu descobri. No seu olhar. As estrelas vão me guiar. Se eu não te amasse tanto assim. Talvez perdesse os sonhos. Dentro de mim. E vivesse na escuridão. Se eu não te amasse tanto assim. Talvez não visse flores. Por onde eu vim. Dentro do meu coração. Hoje eu sei, eu te amei. No vento de um temporal. Mas fui mais, muito além. Do tempo do vendaval. Nos desejos. Num beijo. Que eu jamais provei igual. E as estrelas dão um sinal. Se eu não te amasse tanto assim. Talvez perdesse os sonhos. Dentro de mim. E vivesse na escuridão. Se eu não te amasse tanto assim. Talvez não visse flores. Por onde eu vim. Dentro do meu coração.  "
6,O Mais Belo Dos Belos,Daniela Mercury," Quem é que sobe a ladeira do Curuzu. E a coisa mais linda de se ver. É o Ilê Aiyê. O Mais Belo Dos Belos. Sou eu, sou eu. Bata no peito mais forte. E diga Eu sou Ilê. Não me pegue não, não, não. Me deixe à vontade. Não me pegue não, não, não. Me deixe à vontade. Deixe eu curtir o Ilê. O charme da liberdade. Como é que é. Deixe eu curtir o Ilê. O charme da liberdade. Quem não curte não sabe, negão. o que está perdendo. É tanta felicidade. O Ilê Aiyê vem trazendo. 18 anos de glória, não. São 18 dias. Nessa linda trajetória. No carnaval da Bahia. E a galera a dizer. Não me pegue não, não, não. Me deixe à vontade. Não me pegue não, não, não. Me deixe à vontade. Deixe eu curtir o Ilê. O charme da Liberdade. Como é que é. Deixe eu curtir o Ilê. O charme da liberdade. É tão hipnotizante, negão. O swing dessa banda. A minha beleza negra. Aqui é você quem manda. Vai exalar seu charme, vai. Para o mundo ver. Vem mostrar que você é. A Deusa Negra do Ilê. E a galera a dizer. Não me pegue não, não, não. Me deixe à vontade. Não me pegue não, não, não. Me deixe à vontade. Deixe eu curtir o Ilê. O charme da liberdade. Deixe eu curtir o Ilê. O charme da liberdade. É sábado de carnaval, seu negão. Que tremendo zum, zum, zum. Ele está se preparando para subir o Curuzu. Quem não aguenta chora, não, não de tanta emoção. Deus teve o imenso prazer de criar essa perfeição. E a galera a dizer. Não me pegue não, não, não. Me deixe à vontade. Não me pegue não, não, não. Me deixe à vontade. Deixe eu curtir o Ilê. O charme da liberdade. Como é que é. Deixe eu curtir o Ilê. O charme da liberdade. Quem é que sobe a ladeira do Curuzu. E a coisa mais linda de se ver. É o Ilê Aiyê. O Mais Belo Dos Belos. Sou eu, sou eu. Bata no peito mais forte. E diga eu sou Ilê.  "
7,Eva,Banda Eva," Meu amor, olha só, hoje o sol não apareceu. É o fim da aventura humana na Terra. Meu planeta, adeus. Fugiremos nós dois na arca de Noé. Olha bem, meu amor, é o final da odisseia terrestre. Sou Adão e você será. Minha pequena Eva (Eva). O nosso amor na última astronave (Eva). Além do infinito eu vou voar. Sozinho com você. E voando bem alto (Eva). Me abraça pelo espaço de um instante (Eva). Me cobre com teu corpo e me dá. A força pra viver. Meu amor, olha só hoje o sol não apareceu. É o fim da aventura humana na Terra. Meu planeta, adeus,. Fugiremos nós dois na arca de Noé. Olha bem, meu amor, é o final da odisseia terrestre. Eu sou Adão e você será. Minha pequena Eva (Eva). O nosso amor na última astronave (Eva). Além do infinito eu vou voar. Sozinho com você. E voando bem alto (Eva). Me abraça pelo espaço de um instante (Eva). Me cobre com teu corpo e me dá. A força pra viver. E pelo espaço de um instante. Afinal, não há nada mais que o céu azul. Pra gente voar. Sobre o Rio, Beirute ou Madagascar. Toda a Terra reduzida a nada, nada mais. E minha vida é um flash (flash). De controles, botões antiatômicos. Mas olha bem, meu amor. É o final da odisseia terrestre. Sou Adão e você será. Minha pequena Eva (Eva). O nosso amor na última astronave (Eva). Além do infinito eu vou voar. Sozinho com você. E voando bem alto (Eva). Me abraça pelo espaço de um instante (Eva). Me cobre com teu corpo e me dá. A força pra viver. Minha pequena Eva (Eva). O nosso amor na ultima astronave (Eva). Alem do infinito eu vou voar. Sozinho com você.  "
8,Flor do Reggae,Ivete Sangalo, Um brilho de amor chegou. Na ilha inteira. E a lua que traz amor. É lua cheia. Um grito de dor que vem. Do peito de quem amou alguém. O reggae me traz saudades. De quem me beijou. E agora tá tão distante. Em outra ilha. O amor me chamou de flor. E disse que eu era alguém. Pra vida inteira. Como se eu fosse flor. Você me cheira. Como se eu fosse flor. Você me rega. E nesse reggae eu vou. A noite inteira. Porque morrer de amor. É brincadeira. Como se eu fosse flor. Você me cheira. Como se eu fosse flor. Você me rega. E nesse reggae eu vou. A noite inteira. Porque morrer de amor. É brincadeira. Um brilho de amor chegou. Na ilha inteira. E a lua que traz amor. É lua cheia. Um grito de dor que vem. Do peito de quem amou alguém. O reggae me dá saudades. De quem me beijou. E agora tá tão distante. Em outra ilha. O amor me chamou de flor. E disse que eu era alguém. Pra vida inteira. Como se eu fosse flor. Você me cheira. Como se eu fosse flor. Você me rega. E nesse reggae eu vou. A noite inteira. Porque morrer de amor. É brincadeira. Como se eu fosse flor. Você me cheira. Como se eu fosse flor. Você me rega. E nesse reggae eu vou. A noite inteira. Porque morrer de amor. É brincadeira. Como se eu fosse flor. Você me cheira. Como se eu fosse flor. Você me rega. E nesse reggae eu vou. A noite inteira. Porque morrer de amor. É brincadeira.  
9,Zero a Dez (part. Luan Santana),Ivete Sangalo," Numa escala zero a dez, eu te dou cem. E cem parece pouco pra você. Mais de um milhão de corações, eu quero um. E o seu é o bastante pra eu viver. Deixa eu te levar pra ver as flores. Colorir nosso jardim de amor. Enquanto o céu vai misturando as cores. A gente ama até o sol se pôr. É você, só você. Que sabe me fazer feliz. Que chega em meu ouvido e diz. Que o meu desejo é desejar você. É você, só você. Que sabe me fazer feliz. Que chega em meu ouvido e diz. Que o meu desejo é desejar você. Numa escala zero a dez, eu te dou cem. E cem parece pouco pra você. Mais de um milhão de corações, eu quero um. O seu é o bastante pra eu viver. Deixa eu te levar para ver as flores. Colorir nosso jardim de amor. Enquanto o céu vai misturando as cores. A gente ama até o sol se pôr. É você, só você. Que sabe me fazer feliz. Que chega em meu ouvido e diz. O meu desejo é desejar você. É você, só você. Que sabe me fazer feliz. Que chega em meu ouvido e diz. Que o meu desejo é desejar você. Deixa eu te levar para ver flores. Colorir nosso jardim de amor. Enquanto o céu vai misturando cores. A gente ama até o sol se pôr. É você, só você. Que sabe me fazer feliz. Que chega em meu ouvido e diz. Que o meu desejo é desejar você. É você (é você), só você (só você). Que sabe me fazer feliz (sabe me fazer feliz). Que chega em meu ouvido e diz. Que o meu desejo é desejar você. Você. Que o meu desejo é desejar você. É desejar você.  "
10,À Primeira Vista,Daniela Mercury," Quando não tinha nada, eu quis. Quando tudo era ausência, esperei. Quando tive frio,tremi. Quando tive coragem, liguei. Quando chegou carta, abri. Quando ouvi Prince, dancei. Quando o olho brilhou, entendi. Quando criei asas, voei. Quando me chamou, eu vim. Quando dei por mim, estava aqui. Quando o encontrei, me perdi. Quando vi você, me apaixonei. Quando não tinha nada, eu quis. Quando tudo era ausência, esperei. Quando tive frio, tremi. Quando tive coragem, liguei. Quando chegou carta, abri. Quando ouvi Salif Keita dancei. Quando o olho brilhou, entendi. Quando ganhei asas, voei. Quando me chamou, eu vim. Quando dei por mim, estava aqui. Quando o encontrei, me perdi. Quando vi você, me apaixonei.  "
11,Não Precisa Mudar,Ivete Sangalo," Não precisa mudar. Vou me adaptar ao seu jeito. Seus costumes, seus defeitos. Seu ciúme, suas caras. Pra que mudálas. Não precisa mudar. Vou saber fazer o seu jogo. Saber tudo do seu gosto. Sem deixar nenhuma mágoa. Sem cobrar nada. Se eu sei que no final fica tudo bem. A gente se ajeita numa cama pequena. Te faço um poema, te cubro de amor. Então você adormece. Meu coração enobrece. E a gente sempre se esquece. De tudo o que passou. Então você adormece. Meu coração enobrece. E a gente sempre se esquece. De tudo o que passou. Não precisa mudar. Vou me adaptar ao seu jeito. Seus costumes, seus defeitos. Seu ciúmes, suas caras. Pra que mudálas. Não precisa mudar. Vou saber fazer o seu jogo. Deixar tudo do seu gosto. Sem guardar nenhuma mágoa. Sem cobrar nada. Se eu sei que no final fica tudo bem. A gente se ajeita numa cama pequena. Te faço um poema e te cubro de amor. Então você adormece. Meu coração enobrece. E a gente sempre se esquece. De tudo o que passou. Então você adormece. Meu coração enobrece. E a gente sempre se esquece. De tudo o que passou. Se eu sei que no final fica tudo bem. A gente se ajeita numa cama pequena. Te faço um poema, te cubro de amor. Então você adormece. Meu coração enobrece. E a gente sempre se esquece. De tudo o que passou. Então você adormece. Meu coração enobrece. E a gente sempre se esquece. De tudo o que passou. Então você adormece. Meu coração enobrece. E a gente sempre se esquece. De tudo o que passou. Então você adormece. Meu coração enobrece. E a gente sempre se esquece. De tudo o que passou. Não precisa mudar. Ah, eu sei que não precisa mudar. Não precisa mudar. Não, não, Uuuuh.  "
12,Casa de Mãe Joana,Khrystal Saraiva," Não vem com essa de mandar bilhete. Pro meu camarim. Já to resolvida,sou muito mais eu. Vou é cuidar de mim. Nego só brinca comigo uma vez. Se voce não lembra,eu digo outra vez. Eu não apurei nem menos da metade do que sei. Que tú me fez. Agora eu ando leve e despreocupada. Saio a toa com os amigos pela madrugada. Não tem bilhete nem água de cheiro. Que faça meu passo ligeiro voltar. O meu suingue,meu compasso,meu tom. Voce não conseguiu acompanhar. Meu coração não se engana. Nem é casa de mãe joana. Desnecessário dizer que meu coração. Não é mais de voce.  "
13,Baianidade Nagô,Ivete Sangalo," Já pintou verão, calor no coração. A festa vai começar. Salvador se agita numa só alegria. Eternos Dodô e Osmar. Na avenida Sete. Da paz eu sou tiete. Na barra o farol a brilhar. Carnaval na Bahia. Oitava maravilha. Nunca irei te deixar, meu amor. Eu vou atrás do trio elétrico vou. Dançar ao negro toque do agogô. Curtindo minha baianidade nagô, ôôôô. Eu queria que essa fantasia fosse eterna. Quem sabe um dia a paz vence a guerra. E viver será só festejar.  "
14,Hino da Independência do Brasil,Evaristo Ferreira da Veiga," Já podeis da Pátria filhos. Ver contente a mãe gentil. Já raiou a liberdade. No horizonte do Brasil. Já raiou a liberdade. Já raiou a liberdade. No horizonte do Brasil. Brava gente brasileira. Longe vá temor servil. Ou ficar a Pátria livre. Ou morrer pelo Brasil. Ou ficar a Pátria livre. Ou morrer pelo Brasil. Os grilhões que nos forjavam. Da perfídia astuto ardil. Houve mão mais poderosa. Zombou deles o Brasil. Houve mão mais poderosa. Houve mão mais poderosa. Zombou deles o Brasil. Brava gente brasileira. Longe vá temor servil. Ou ficar a Pátria livre. Ou morrer pelo Brasil. Ou ficar a Pátria livre. Ou morrer pelo Brasil. Não temais ímpias falanges. Que apresentam face hostil. Vossos peitos, vossos braços. São muralhas do Brasil. Vossos peitos, vossos braços. Vossos peitos, vossos braços. São muralhas do Brasil. Brava gente brasileira. Longe vá temor servil. Ou ficar a Pátria livre. Ou morrer pelo Brasil. Ou ficar a Pátria livre. Ou morrer pelo Brasil. Parabéns, ó brasileiros. Já, com garbo juvenil. Do universo entre as nações. Resplandece a do Brasil. Do universo entre as nações. Do universo entre as nações. Resplandece a do Brasil. Brava gente brasileira. Longe vá temor servil. Ou ficar a Pátria livre. Ou morrer pelo Brasil. Ou ficar a Pátria livre. Ou morrer pelo Brasil.  "
15,Xibom Bombom,As Meninas," Bom xibom, xibom, bombom. Bom xibom, xibom, bombom. Bom xibom, xibom, bombom. Bom xibom, xibom, bombom. Analisando. Essa cadeia hereditária. Quero me livrar. Dessa situação precária. Analisando. Essa cadeia hereditária. Quero me livrar. Dessa situação precária. Onde o rico cada vez. Fica mais rico. E o pobre cada vez. Fica mais pobre. E o motivo todo mundo. Já conhece. É que o de cima sobe. E o de baixo desce. E o motivo todo mundo. Já conhece. É que o de cima sobe. E o de baixo desce.... Bom xibom, xibom, bombom. Bom xibom, xibom, bombom. Bom xibom, xibom, bombom. Bom xibom, xibom, bombom. Mas eu só quero. Educar meus filhos. Tornar um cidadão. Com muita dignidade. Eu quero viver bem. Quero me alimentar. Com a grana que eu ganho. Não dá nem prá melar. E o motivo todo mundo. Já conhece. É que o de cima sobe. E o de baixo desce. E o motivo todo mundo. Já conhece. É que o de cima sobe. E o de baixo desce. Bom xibom, xibom, bombom. Bom xibom, xibom, bombom. Bom xibom, xibom, bombom. Bom xibom, xibom, bombom. Bom xibom, xibom, bombom. Bom xibom, xibom, bombom. Bom xibom, xibom, bombom. Bom xibom, xibom, bombom. . Bom bom, xibom bombom. Bom bom, xibom bombom.  "
16,Raiz de Todo Bem,Saulo Fernandes," Salvador, Bahia, território africano. Baiano sou eu, é você, somos nós. Uma voz, um tambor. Oxente, cê num tá vendo que a gente é nordeste. Cabra da peste. Sai daí batucador. Quem foi seu mestre. Capoeira. Se plante. Lá vem rasteira. Pé de ladeira. Preciso da fé no Senhor do Bonfim. Pra mim, pra você, pra mim. Um chinelo de couro, uma bata. Uma benção, mais cinquenta centavos de som. Aumenta o som. África, iô iô. Salvador, minha cor. A raiz de todo bem, de tanta fé. Do canto Candomblé. África, iô iô. Salvador, meu amor. A raiz de todo bem, de tanta fé. Do canto Candomblé.  "
17,Ninguém Explica Deus,Harmonia do Samba," Nada é igual ao seu redor. Tudo se faz no seu olhar. Todo o universo se formou no seu falar. Teologia pra explicar. Ou big bang pra disfarçar. Pode alguém até duvidar. Sei que há um Deus a me guardar. E eu, tão pequeno e frágil. Querendo sua atenção. No silêncio encontro resposta certa, então. Dono de toda a ciência, sabedoria e poder. Oh, dáme de beber. Da água da fonte da vida. Antes que o ar já houvesse. Ele já era Deus. Se revelou aos seus. Do crente ao ateu. Ninguém explica Deus. Nada é igual ao seu redor. Tudo se faz no seu olhar. O universo se formou no seu falar. Teologia pra explicar. Ou big bang pra disfarçar. Pode alguém até duvidar. Sei que há um Deus a me guardar. E eu, tão pequeno e frágil. Querendo sua atenção. No silêncio encontro resposta certa, então. Dono de toda ciência, sabedoria e poder. Oh, dáme de beber da água da fonte da vida. Antes que o ar já houvesse. Ele já era Deus. Se revelou aos seus. Do gentio ao judeu. Ninguém explica Deus. Ninguém explica. Ninguém explica Deus. E se duvida ou se acredita. Ninguém explica. Ninguém explica Deus.  "
18,Vai Dar PT,Léo Santana," Foi pro baile muito louca. Afim de se envolver. Só tem 18 anos. O que vai acontecer. Foi pro baile muito louca. Afim de se envolver. Ela só tem 18 anos. O que vai acontecer. Cer, cer, o que vai acontecer. Vai dar PT, vai dar. Vai dar PT, vai dar. Misturou tequila, whisky, vodka. E a mina vai embrazar. Vai dar PT, vai dar. Vai dar PT, vai dar. Ela vai dar PT, vai dar.  "
19,A Lua Que Eu Te Dei,Ivete Sangalo," Posso te falar dos sonhos. Das flores. De como a cidade mudou. Posso te falar do medo. Do meu desejo, do meu amor. Posso falar da tarde que cai. E aos poucos deixa ver. No céu a Lua. Que um dia eu te dei. Gosto de fechar os olhos. Fugir no tempo. De me perder. Posso até perder a hora. Mas sei. Que já passou das seis. Sei que não há no mundo. Quem possa te dizer. Que não é tua. A Lua que eu te dei. Pra brilhar. Por onde você for. Me queira bem. Durma bem. Meu amor. Eu posso falar. Da tarde que cai. E aos poucos deixa ver. No céu a Lua. Que um dia eu te dei. Pra brilhar. Por onde você for. Me queira bem. Durma bem. Meu amor. Durma bem. Me queira bem. Meu amor. A Lua que eu te dei. A Lua que eu te dei. A Lua que eu te dei.  "
20,Floresça,Saulo Fernandes," Por onde for, floresça. Serena, que nem água de poço. Risque a palavra feia. E que não falte fé. Converse com o céu. E convença o universo. A girar no seu tempo. Por onde o vento assoviar. Converse com o céu. E convença o universo. A girar no seu tempo. Por onde o vento assoviar. Navegue em maré que flui. Como cafuné em silêncio. Ama o sol que é tão bonito. E ainda acredita no mundo. Que o amor é a melhor companhia. E a luz do abraço cresceu o desejo. De eternizar a respiração. Por onde for, será seguro. Estarei com você. E tudo que a gente aprendeu é liberdade. Por onde for, leve seu guia, o coração. E tudo que a gente aprendeu é liberdade. Por onde for, leve seu guia, o coração.  "
